seq,trial_index,source_trial_index,distance,is_experimental,candidate_modified,proposed_trial_blocked,param__param_1,param__param_2,obj__objective_1,uncert__objective_1
1,0,0,0.0,False,False,False,0.9975133538246155,0.10436639189720154,1.005038449865764,0.0
2,1,1,0.0,False,False,False,0.11113402433693409,0.7879766123369336,0.9383503589405555,0.0
3,2,2,0.0,False,False,False,0.3651878656819463,0.35327498987317085,0.846432861935009,0.0
4,3,3,0.0,False,False,False,0.7434499682858586,0.5370968850329518,1.0297203263573544,0.0
5,4,4,0.0,False,False,False,0.5822543604299426,0.4878009529784322,0.9972459870763773,0.0
6,5,5,0.0,False,False,False,0.2535990647586085,0.19048371002110373,0.655381080198233,0.0
7,6,6,0.0,False,False,False,0.10167372029030472,0.0736835688865349,0.4206260258827197,0.0
8,9,9,0.0,False,False,False,0.0,0.12877185022907195,0.3763463476475989,0.0
9,10,10,0.0,False,False,False,0.0,0.0,0.25,0.0
10,11,11,0.0,False,False,False,0.0,0.0,0.25,0.0
11,12,12,0.0,False,False,False,0.0,0.0,0.25,0.0
12,13,13,0.0,False,False,False,0.0,0.0,0.25,0.0
13,14,14,0.0,False,False,False,0.0,0.0,0.25,0.0
14,15,15,0.0,False,False,False,0.0,0.0,0.25,0.0
15,16,16,0.0,False,False,False,0.0,0.0,0.25,0.0
